count;cRate10K;cRate10Kpy;dailyMean;indicator_Hospitalizations;Year_2007_2009;Year_2009_2011;Year_2011_2013;Year_2013_2015;Year_2015_2017;Year_2017_2019;subgroup_cat1_15_19;subgroup_cat1_20_24;subgroup_cat1_25_64;subgroup_cat1_5_14;subgroup_cat1_65;subgroup_cat2_M
1528.0;2180.0;7265.0;1395.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
827.0;1158.0;3859.0;755.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
27769.0;5130.0;17099.0;25360.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
12797.0;2482.0;8272.0;11687.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
6157.0;5468.0;18225.0;5623.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
8504.0;7227.0;24091.0;7766.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
15434.0;9162.0;30541.0;14095.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
5884.0;4753.0;15845.0;5374.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
5293.0;9277.0;30925.0;4829.0;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
9176.0;15354.0;51181.0;8372.0;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
1467.0;2451.0;8171.0;1339.0;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
904.0;1459.0;4862.0;825.0;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
